iter	RMSE
0	2309.895627
1	2294.244267
2	2279.032663
3	2264.256295
4	2251.269487
5	2238.709435
6	2225.973749
7	2212.671422
8	2198.895498
9	2187.617885
10	2176.692309
11	2164.675744
12	2153.134142
13	2141.858718
14	2130.973442
15	2121.60139
16	2112.532451
17	2102.94933
18	2093.214566
19	2084.555626
20	2076.541085
21	2068.665248
22	2059.614631
23	2052.289327
24	2044.044822
25	2036.059496
26	2029.41827
27	2021.877805
28	2013.683842
29	2007.445775
30	2000.557658
31	1993.556676
32	1988.009692
33	1980.869461
34	1975.197158
35	1969.165434
36	1964.283891
37	1958.67002
38	1954.009249
39	1949.571928
40	1944.722595
41	1940.551874
42	1935.68648
43	1930.330925
44	1926.601741
45	1922.875938
46	1918.835999
47	1914.617393
48	1910.518594
49	1905.91771
50	1901.488888
51	1898.26207
52	1894.065517
53	1891.2806
54	1887.853269
55	1883.786377
56	1881.244185
57	1877.308642
58	1874.442897
59	1872.155761
60	1868.792427
61	1865.540275
62	1862.813296
63	1860.173862
64	1858.23333
65	1855.115983
66	1852.656155
67	1850.644713
68	1848.402905
69	1846.486248
70	1844.493031
71	1842.616665
72	1840.018727
73	1837.601149
74	1835.212347
75	1832.825463
76	1830.655467
77	1829.073407
78	1827.858868
79	1825.862395
80	1823.906755
81	1822.772819
82	1820.839695
83	1819.357959
84	1817.98287
85	1816.527294
86	1814.862186
87	1813.580167
88	1812.018475
89	1811.055903
90	1809.897184
91	1808.686029
92	1807.329216
93	1806.185824
94	1805.240709
95	1804.119131
96	1803.144828
97	1801.792513
98	1800.819958
99	1800.005103
100	1799.286267
101	1798.346426
102	1797.606406
103	1796.399866
104	1795.562411
105	1794.924074
106	1794.111392
107	1793.303049
108	1792.351565
109	1791.614128
110	1791.034924
111	1790.058719
112	1789.573259
113	1788.971527
114	1788.067201
115	1787.191175
116	1786.502382
117	1786.105748
118	1785.526735
119	1784.719685
120	1784.37918
121	1783.816154
122	1783.321461
123	1782.833608
124	1782.665311
125	1782.131645
126	1781.483314
127	1780.973983
128	1780.553123
129	1779.869601
130	1779.451555
131	1779.04698
132	1778.463986
133	1778.004073
134	1777.642718
135	1777.173461
136	1776.772606
137	1776.358148
138	1776.003139
139	1775.616353
140	1775.092849
141	1774.806548
142	1774.561883
143	1774.174101
144	1773.807523
145	1773.45846
146	1773.293787
147	1772.949176
148	1772.478579
149	1772.433935
150	1772.119016
151	1771.793045
152	1771.358971
153	1771.058743
154	1770.824095
155	1770.544505
156	1770.144105
157	1769.882739
158	1769.614136
159	1769.339203
160	1769.041332
161	1768.706673
162	1768.435096
163	1768.169184
164	1767.940195
165	1767.595464
166	1767.2227
167	1767.110418
168	1767.014514
169	1766.484495
170	1766.38902
171	1766.362445
172	1766.152828
173	1765.933275
174	1765.874388
175	1765.634602
176	1765.415745
177	1765.010804
178	1764.821661
179	1764.560139
180	1764.481152
181	1764.346084
182	1764.128404
183	1763.911871
184	1763.817915
185	1763.548379
186	1763.297544
187	1763.165432
188	1763.11912
189	1762.92575
190	1762.775544
191	1762.604002
192	1762.439416
193	1762.26475
194	1762.06708
195	1762.035646
196	1761.871779
197	1761.75867
198	1761.601632
199	1761.549154
200	1761.53146
201	1761.428221
202	1761.359382
203	1761.116366
204	1760.984426
205	1760.887151
206	1760.781176
207	1760.557283
208	1760.441953
209	1760.38919
210	1760.246855
211	1760.159637
212	1760.031382
213	1759.810637
214	1759.685058
215	1759.52451
216	1759.474928
217	1759.422414
218	1759.002477
219	1758.952943
220	1758.625812
221	1758.457189
222	1758.395701
223	1758.336438
224	1758.313685
225	1758.031569
226	1757.966672
227	1757.947865
228	1757.871838
229	1757.852203
230	1757.765943
231	1757.713153
232	1757.63652
233	1757.398595
234	1757.285092
235	1757.244142
236	1757.129413
237	1757.112433
238	1757.03552
239	1756.919234
240	1756.735138
241	1756.668534
242	1756.581272
243	1756.562854
244	1756.549538
245	1756.435785
246	1756.379899
247	1756.121608
248	1756.044439
249	1755.732875
250	1755.522596
251	1755.443209
252	1755.386379
253	1755.33375
254	1755.305026
255	1755.233089
256	1755.141616
257	1755.084057
258	1754.951098
259	1754.914864
260	1754.786505
261	1754.727134
262	1754.683464
263	1754.599477
264	1754.52529
265	1754.457575
266	1754.417975
267	1754.229329
268	1754.029121
269	1753.676721
270	1753.620572
271	1753.564531
272	1753.543639
273	1753.489544
274	1753.448818
275	1753.380546
276	1753.212576
277	1753.094518
278	1753.047015
279	1752.990702
280	1752.947014
281	1752.92797
282	1752.832888
283	1752.793669
284	1752.740096
285	1752.713262
286	1752.668588
287	1752.486814
288	1752.315613
289	1752.243885
290	1752.217875
291	1752.111798
292	1752.080697
293	1752.023862
294	1751.967962
295	1751.88457
296	1751.809801
297	1751.790391
298	1751.729942
299	1751.39697
300	1751.35924
301	1751.232016
302	1751.185064
303	1751.142561
304	1751.094505
305	1751.04025
306	1750.907316
307	1750.827805
308	1750.508579
309	1750.45831
310	1750.354535
311	1750.316796
312	1750.28956
313	1750.249694
314	1750.190129
315	1750.172139
316	1750.014356
317	1749.941705
318	1749.909875
319	1749.876074
320	1749.833164
321	1749.599614
322	1749.289103
323	1749.130722
324	1748.890959
325	1748.826676
326	1748.805531
327	1748.612639
328	1748.47524
329	1748.4358
330	1748.366775
331	1748.103777
332	1747.821258
333	1747.807912
334	1747.789178
335	1747.742619
336	1747.71746
337	1747.692617
338	1747.623349
339	1747.488492
340	1747.440871
341	1747.407113
342	1747.346052
343	1747.285566
344	1747.020195
345	1747.003707
346	1746.93331
347	1746.905187
348	1746.730525
349	1746.700277
350	1746.547912
351	1746.481447
352	1746.265388
353	1746.21579
354	1746.160926
355	1746.120381
356	1745.973911
357	1745.73822
358	1745.586857
359	1745.540982
360	1745.466052
361	1745.421841
362	1745.366125
363	1745.310875
364	1745.187891
365	1745.143619
366	1745.088708
367	1745.035831
368	1744.97232
369	1744.916037
370	1744.81779
371	1744.77013
