iter	Passed	Remaining
0	147	75001
1	160	40883
2	174	29507
3	189	23938
4	201	20357
5	214	18025
6	226	16255
7	242	15218
8	258	14413
9	270	13517
10	281	12763
11	292	12140
12	302	11578
13	319	11320
14	329	10882
15	342	10571
16	350	10151
17	364	9951
18	381	9870
19	401	9841
20	417	9722
21	428	9502
22	440	9319
23	484	9812
24	492	9550
25	497	9259
26	502	8984
27	507	8737
28	512	8504
29	520	8320
30	524	8097
31	528	7890
32	532	7697
33	537	7520
34	540	7340
35	545	7176
36	550	7041
37	554	6893
38	559	6752
39	563	6616
40	568	6498
41	572	6374
42	576	6257
43	580	6144
44	584	6040
45	588	5934
46	592	5837
47	597	5746
48	601	5662
49	606	5578
50	611	5499
51	616	5426
52	620	5347
53	624	5273
54	628	5201
55	633	5133
56	637	5069
57	642	5008
58	647	4949
59	653	4901
60	658	4844
61	664	4802
62	668	4745
63	673	4693
64	677	4638
65	682	4589
66	687	4545
67	692	4498
68	697	4455
69	701	4409
70	705	4364
71	709	4317
72	714	4274
73	717	4229
74	722	4188
75	727	4153
76	731	4112
77	735	4073
78	739	4032
79	744	4000
80	748	3964
81	752	3929
82	757	3897
83	762	3867
84	767	3835
85	771	3803
86	776	3776
87	780	3744
88	785	3715
89	790	3687
90	795	3660
91	799	3633
92	804	3605
93	808	3579
94	812	3549
95	816	3521
96	821	3496
97	825	3470
98	829	3443
99	833	3416
100	837	3390
101	841	3364
102	845	3339
103	849	3314
104	852	3290
105	857	3266
106	861	3244
107	866	3226
108	875	3221
109	880	3201
110	885	3183
111	891	3166
112	898	3157
113	906	3148
114	914	3141
115	923	3136
116	929	3123
117	939	3121
118	962	3162
119	970	3154
120	978	3147
121	988	3142
122	1001	3150
123	1021	3178
124	1029	3169
125	1036	3158
126	1044	3148
127	1050	3134
128	1056	3121
129	1064	3112
130	1075	3111
131	1088	3116
132	1100	3119
133	1109	3112
134	1118	3106
135	1127	3101
136	1134	3090
137	1141	3077
138	1152	3076
139	1164	3078
140	1170	3062
141	1175	3047
142	1184	3040
143	1191	3027
144	1198	3016
145	1205	3004
146	1211	2991
147	1218	2980
148	1224	2967
149	1231	2956
150	1238	2944
151	1246	2934
152	1251	2919
153	1258	2909
154	1265	2898
155	1273	2889
156	1281	2882
157	1289	2873
158	1294	2858
159	1300	2845
160	1305	2829
161	1311	2817
162	1318	2806
163	1324	2794
164	1330	2781
165	1341	2780
166	1348	2768
167	1353	2755
168	1358	2741
169	1364	2728
170	1367	2711
171	1372	2697
172	1378	2685
173	1382	2669
174	1387	2655
175	1392	2642
176	1397	2628
177	1401	2613
178	1406	2600
179	1410	2586
180	1414	2571
181	1419	2557
182	1423	2544
183	1428	2530
184	1431	2515
185	1437	2503
186	1441	2490
187	1445	2475
188	1449	2462
189	1454	2449
190	1458	2435
191	1461	2421
192	1467	2409
193	1471	2396
194	1475	2382
195	1479	2369
196	1484	2358
197	1489	2347
198	1494	2335
199	1498	2323
200	1502	2310
201	1506	2297
202	1511	2285
203	1515	2273
204	1519	2261
205	1524	2249
206	1528	2237
207	1533	2226
208	1537	2214
209	1541	2202
210	1547	2192
211	1552	2182
212	1557	2172
213	1562	2161
214	1567	2151
215	1575	2144
216	1581	2135
217	1587	2126
218	1592	2115
219	1596	2104
220	1600	2093
221	1606	2084
222	1612	2074
223	1616	2064
224	1622	2054
225	1627	2044
226	1631	2033
227	1637	2024
228	1641	2014
229	1646	2003
230	1652	1995
231	1658	1987
232	1665	1980
233	1675	1976
234	1681	1968
235	1687	1959
236	1692	1949
237	1696	1938
238	1703	1931
239	1708	1921
240	1712	1911
241	1717	1902
242	1722	1892
243	1726	1881
244	1732	1873
245	1737	1865
246	1742	1855
247	1747	1846
248	1753	1837
249	1758	1829
250	1779	1836
251	1785	1827
252	1790	1818
253	1794	1808
254	1799	1799
255	1804	1790
256	1808	1780
257	1815	1773
258	1819	1763
259	1824	1754
260	1830	1746
261	1834	1736
262	1838	1726
263	1844	1718
264	1848	1708
265	1852	1699
266	1856	1690
267	1862	1681
268	1866	1672
269	1870	1663
270	1876	1654
271	1880	1645
272	1885	1637
273	1891	1628
274	1896	1620
275	1900	1611
276	1904	1601
277	1909	1593
278	1915	1586
279	1921	1578
280	1927	1570
281	1931	1561
282	1937	1553
283	1943	1546
284	1948	1537
285	1952	1529
286	1960	1523
287	1966	1515
288	1973	1508
289	1980	1502
290	1985	1493
291	1991	1486
292	1996	1478
293	2000	1469
294	2005	1461
295	2012	1455
296	2022	1450
297	2037	1449
298	2049	1446
299	2062	1443
300	2074	1440
301	2085	1436
302	2095	1431
303	2107	1427
304	2141	1439
305	2153	1435
306	2163	1430
307	2182	1431
308	2194	1427
309	2206	1423
310	2218	1419
311	2228	1414
312	2240	1410
313	2250	1405
314	2257	1397
315	2262	1389
316	2270	1382
317	2275	1373
318	2281	1366
319	2286	1357
320	2293	1350
321	2303	1344
322	2315	1340
323	2339	1343
324	2353	1339
325	2361	1332
326	2369	1326
327	2375	1317
328	2384	1312
329	2389	1303
330	2401	1298
331	2413	1294
332	2423	1288
333	2430	1280
334	2436	1272
335	2441	1264
336	2448	1257
337	2456	1249
338	2466	1244
339	2477	1238
340	2495	1236
341	2504	1230
342	2513	1223
343	2520	1216
344	2529	1209
345	2534	1201
346	2542	1194
347	2548	1186
348	2553	1177
349	2562	1171
350	2566	1162
351	2573	1155
352	2580	1147
353	2584	1139
354	2593	1132
355	2599	1124
356	2607	1117
357	2613	1109
358	2617	1101
359	2624	1093
360	2628	1085
361	2633	1076
362	2640	1069
363	2645	1061
364	2650	1052
365	2656	1045
366	2661	1036
367	2666	1028
368	2672	1021
369	2677	1013
370	2682	1004
371	2689	997
372	2694	989
373	2701	982
374	2706	974
375	2711	966
376	2719	959
377	2723	951
378	2728	943
379	2734	935
380	2739	927
381	2745	919
382	2752	912
383	2757	904
384	2762	896
385	2768	889
386	2773	881
387	2778	873
388	2785	866
389	2790	858
390	2795	850
391	2802	843
392	2808	836
393	2815	828
394	2821	821
395	2826	813
396	2833	806
397	2837	798
398	2841	790
399	2848	783
400	2853	775
401	2857	767
402	2864	760
403	2868	752
404	2873	744
405	2881	738
406	2886	730
407	2891	722
408	2897	715
409	2903	708
410	2910	701
411	2915	693
412	2920	685
413	2929	679
414	2935	671
415	2942	664
416	2947	657
417	2952	649
418	2960	642
419	2965	635
420	2971	628
421	2976	620
422	2982	613
423	2989	606
424	2994	598
425	2998	591
426	3005	584
427	3009	576
428	3014	569
429	3019	561
430	3024	554
431	3028	546
432	3032	539
433	3039	532
434	3043	524
435	3047	517
436	3054	510
437	3058	502
438	3062	495
439	3068	488
440	3073	480
441	3077	473
442	3081	466
443	3088	459
444	3091	451
445	3095	444
446	3103	437
447	3107	430
448	3112	422
449	3119	415
450	3123	408
451	3127	401
452	3134	394
453	3139	387
454	3143	379
455	3150	373
456	3154	365
457	3159	358
458	3166	351
459	3170	344
460	3174	337
461	3180	330
462	3185	323
463	3189	316
464	3197	309
465	3203	302
466	3208	295
467	3215	288
468	3219	281
469	3223	274
470	3231	267
471	3237	260
472	3243	253
473	3249	246
474	3256	239
475	3268	233
476	3276	226
477	3282	219
478	3287	212
479	3295	205
480	3301	199
481	3307	192
482	3314	185
483	3318	178
484	3325	171
485	3330	164
486	3334	157
487	3340	150
488	3348	143
489	3353	136
490	3362	130
491	3367	123
492	3374	116
493	3382	109
494	3393	102
495	3403	96
496	3411	89
497	3419	82
498	3427	75
499	3433	68
500	3441	61
501	3447	54
502	3460	48
503	3472	41
504	3478	34
505	3489	27
506	3493	20
507	3499	13
508	3506	6
509	3511	0
